 ,Sr,Therapy Area,Condition,Molecule,Route of Administration,Country,Participants,Services,Sub Services,Channel,Adoption,Program Measure,Program benefit vs non-program,Source
10,2,Cancer,"Neuroendocrine tumours, Acromegaly",Octreotide,IV,Australia,129,Medicine Logistics,Home Delivery/Order,-,,PREM: Satisfaction_Positiv_Impact,,https://doi.org/10.1111/ajco.13477
11,3,Cancer,Prostate cancer,NA,NA,Australia,75,Patient Education,Website,Website,,PREM: Recommend,,https://doi.org/10.1016/j.invent.2014.10.001
12,3,Cancer,Prostate cancer,NA,NA,Australia,75,Medicine Routine,Reminders,Email/SMS/Mail,,PREM: Recommend,,https://doi.org/10.1016/j.invent.2014.10.001
13,3,Cancer,Prostate cancer,NA,NA,Australia,75,Psychosocial-Emotional,Psychological Intervention,Website,,PREM: Recommend,,https://doi.org/10.1016/j.invent.2014.10.001
14,3,Cancer,Prostate cancer,NA,NA,Australia,75,Psychosocial-Emotional,Patient communities-support,Website,,PREM: Recommend,,https://doi.org/10.1016/j.invent.2014.10.001
15,3,Cancer,Prostate cancer,NA,NA,Australia,75,Patient Education,Website,Website,,PROM: DASS-21_normal,,https://doi.org/10.1016/j.invent.2014.10.001
16,3,Cancer,Prostate cancer,NA,NA,Australia,75,Medicine Routine,Reminders,Email/SMS/Mail,,PROM: DASS-21_normal,,https://doi.org/10.1016/j.invent.2014.10.001
17,3,Cancer,Prostate cancer,NA,NA,Australia,75,Psychosocial-Emotional,Patient communities-support,Website,,PROM: DASS-21_normal,,https://doi.org/10.1016/j.invent.2014.10.001
18,3,Cancer,Prostate cancer,NA,NA,Australia,75,Patient Education,Website,Website,,PROM: IIEF_Overall_Score,,https://doi.org/10.1016/j.invent.2014.10.001
19,3,Cancer,Prostate cancer,NA,NA,Australia,75,Medicine Routine,Reminders,Email/SMS/Mail,,PROM: IIEF_Overall_Score,,https://doi.org/10.1016/j.invent.2014.10.001
20,3,Cancer,Prostate cancer,NA,NA,Australia,75,Psychosocial-Emotional,Psychological Intervention,Website,,PROM: IIEF_Overall_Score,,https://doi.org/10.1016/j.invent.2014.10.001
21,3,Cancer,Prostate cancer,NA,NA,Australia,75,Psychosocial-Emotional,Patient communities-support,Website,,PROM: IIEF_Overall_Score,,https://doi.org/10.1016/j.invent.2014.10.001
22,4,Diabetes,Diabetes,Insulin glargine,SC,Australia,514,Patient Education,Nurse/AHP assistance,Inperson,,FBG_achieved_control,,https://doi.org/10.1016/j.invent.2014.10.001
23,4,Diabetes,Diabetes,Insulin glargine,SC,Australia,514,Patient Education,Nurse/AHP assistance,Telephone (Nurse/AHP),,FBG_achieved_control,,https://doi.org/10.1016/j.invent.2014.10.001
24,4,Diabetes,Diabetes,Insulin glargine,SC,Australia,514,Medicine Usage Support,Dose/inj training,Inperson,,FBG_achieved_control,,https://doi.org/10.1016/j.invent.2014.10.001
25,4,Diabetes,Diabetes,Insulin glargine,SC,Australia,514,Medicine Usage Support,"Dose support (inc. Induction, FDO, Titration)",Inperson,,FBG_achieved_control,,https://doi.org/10.1016/j.invent.2014.10.001
26,5,Diabetes,Diabetes,NA,NA,Australia,198,Patient Education,Nurse/AHP assistance,Inperson,,FBG_relative_change,300.0,https://doi.org/10.1016/j.invent.2014.10.001
27,5,Diabetes,Diabetes,NA,NA,Australia,198,Patient Education,Nurse/AHP assistance,Telephone (Nurse/AHP),,FBG_relative_change,300.0,https://doi.org/10.1016/j.invent.2014.10.001
28,5,Diabetes,Diabetes,NA,NA,Australia,198,Patient Education,Partner Orgs,Partner Orgs,,FBG_relative_change,300.0,https://doi.org/10.1016/j.invent.2014.10.001
29,5,Diabetes,Diabetes,NA,NA,Australia,198,SideEffects/Comobidities Support,AHPs services,Inperson,,FBG_relative_change,300.0,https://doi.org/10.1016/j.invent.2014.10.001
30,5,Diabetes,Diabetes,NA,NA,Australia,198,Motivation/Confidence,Coaching/Counseling,Inperson,,FBG_relative_change,300.0,https://doi.org/10.1016/j.invent.2014.10.001
31,5,Diabetes,Diabetes,NA,NA,Australia,198,Motivation/Confidence,ICP,Inperson,,FBG_relative_change,300.0,https://doi.org/10.1016/j.invent.2014.10.001
32,5,Diabetes,Diabetes,NA,NA,Australia,198,Patient Education,Nurse/AHP assistance,Inperson,,BMI_relative_change,700.0,https://doi.org/10.1016/j.invent.2014.10.001
33,5,Diabetes,Diabetes,NA,NA,Australia,198,Patient Education,Nurse/AHP assistance,Telephone (Nurse/AHP),,BMI_relative_change,700.0,https://doi.org/10.1016/j.invent.2014.10.001
34,5,Diabetes,Diabetes,NA,NA,Australia,198,Patient Education,Partner Orgs,Partner Orgs,,BMI_relative_change,700.0,https://doi.org/10.1016/j.invent.2014.10.001
35,5,Diabetes,Diabetes,NA,NA,Australia,198,SideEffects/Comobidities Support,AHPs services,Inperson,,BMI_relative_change,700.0,https://doi.org/10.1016/j.invent.2014.10.001
36,5,Diabetes,Diabetes,NA,NA,Australia,198,Motivation/Confidence,Coaching/Counseling,Inperson,,BMI_relative_change,700.0,https://doi.org/10.1016/j.invent.2014.10.001
37,5,Diabetes,Diabetes,NA,NA,Australia,198,Motivation/Confidence,ICP,Inperson,,BMI_relative_change,700.0,https://doi.org/10.1016/j.invent.2014.10.001
38,12,Idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis,Nintedanib,,USA,3114,Carer Enablement,,Telephone (Nurse/AHP),,Adherence_Rx_filled,21.0,https://doi.org/10.1007/s12325-021-01768-w
39,12,Idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis,Nintedanib,,USA,3114,Patient Education,Nurse/AHP assistance,Inperson,,Adherence_Rx_filled,21.0,https://doi.org/10.1007/s12325-021-01768-w
40,12,Idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis,Nintedanib,,USA,3114,Patient Education,Nurse/AHP assistance,Telephone (Nurse/AHP),,Adherence_Rx_filled,21.0,https://doi.org/10.1007/s12325-021-01768-w
41,12,Idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis,Nintedanib,,USA,3114,SideEffects/Comobidities Support,AHPs services,Inperson,,Adherence_Rx_filled,21.0,https://doi.org/10.1007/s12325-021-01768-w
42,12,Idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis,Nintedanib,,USA,3114,SideEffects/Comobidities Support,AHPs services,Telephone (Nurse/AHP),,Adherence_Rx_filled,21.0,https://doi.org/10.1007/s12325-021-01768-w
43,12,Idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis,Nintedanib,,USA,3114,Financial,-,Telephone,,Adherence_Rx_filled,21.0,https://doi.org/10.1007/s12325-021-01768-w
44,12,Idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis,Nintedanib,,USA,3114,Carer Enablement,,Telephone (Nurse/AHP),,Perc_discontinuation_12mnth,9.0,https://doi.org/10.1007/s12325-021-01768-w
45,12,Idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis,Nintedanib,,USA,3114,Patient Education,Nurse/AHP assistance,Inperson,,Perc_discontinuation_12mnth,9.0,https://doi.org/10.1007/s12325-021-01768-w
46,12,Idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis,Nintedanib,,USA,3114,Patient Education,Nurse/AHP assistance,Telephone (Nurse/AHP),,Perc_discontinuation_12mnth,9.0,https://doi.org/10.1007/s12325-021-01768-w
47,12,Idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis,Nintedanib,,USA,3114,SideEffects/Comobidities Support,AHPs services,Inperson,,Perc_discontinuation_12mnth,9.0,https://doi.org/10.1007/s12325-021-01768-w
48,12,Idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis,Nintedanib,,USA,3114,SideEffects/Comobidities Support,AHPs services,Telephone (Nurse/AHP),,Perc_discontinuation_12mnth,9.0,https://doi.org/10.1007/s12325-021-01768-w
49,12,Idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis,Nintedanib,,USA,3114,Financial,-,Telephone,,Perc_discontinuation_12mnth,9.0,https://doi.org/10.1007/s12325-021-01768-w
50,12,Idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis,Nintedanib,,USA,3114,Carer Enablement,,Telephone (Nurse/AHP),,Perc_Persistence_12mnth,21.0,https://doi.org/10.1007/s12325-021-01768-w
51,12,Idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis,Nintedanib,,USA,3114,Patient Education,Nurse/AHP assistance,Inperson,,Perc_Persistence_12mnth,21.0,https://doi.org/10.1007/s12325-021-01768-w
52,12,Idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis,Nintedanib,,USA,3114,Patient Education,Nurse/AHP assistance,Telephone (Nurse/AHP),,Perc_Persistence_12mnth,21.0,https://doi.org/10.1007/s12325-021-01768-w
53,12,Idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis,Nintedanib,,USA,3114,SideEffects/Comobidities Support,AHPs services,Inperson,,Perc_Persistence_12mnth,21.0,https://doi.org/10.1007/s12325-021-01768-w
54,12,Idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis,Nintedanib,,USA,3114,SideEffects/Comobidities Support,AHPs services,Telephone (Nurse/AHP),,Perc_Persistence_12mnth,21.0,https://doi.org/10.1007/s12325-021-01768-w
55,12,Idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis,Nintedanib,,USA,3114,Financial,-,Telephone,,Perc_Persistence_12mnth,21.0,https://doi.org/10.1007/s12325-021-01768-w
56,18,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis",Infliximab,IV,Canada,10000,Carer Enablement,,Telephone,90.0,PREM: IV Perception_rating,60.0,https://lsc-pagepro.mydigitalpublication.com/publication/?m=38924&i=380838&view=articleBrowser&article_id=2701091&ver=html5
57,18,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis",Infliximab,IV,Canada,10000,Medicine Usage Support,Drug administration,Inperson,90.0,PREM: IV Perception_rating,60.0,https://lsc-pagepro.mydigitalpublication.com/publication/?m=38924&i=380838&view=articleBrowser&article_id=2701091&ver=html5
58,18,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis",Infliximab,IV,Canada,10000,Medicine Routine,Reminders,Telephone,90.0,PREM: IV Perception_rating,60.0,https://lsc-pagepro.mydigitalpublication.com/publication/?m=38924&i=380838&view=articleBrowser&article_id=2701091&ver=html5
59,18,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis",Infliximab,IV,Canada,10000,Medicine Logistics,Home Delivery/Order,-,90.0,PREM: IV Perception_rating,60.0,https://lsc-pagepro.mydigitalpublication.com/publication/?m=38924&i=380838&view=articleBrowser&article_id=2701091&ver=html5
60,18,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis",Infliximab,IV,Canada,10000,Patient Education,Help-line (non-clinical),Telephone,90.0,PREM: IV Perception_rating,60.0,https://lsc-pagepro.mydigitalpublication.com/publication/?m=38924&i=380838&view=articleBrowser&article_id=2701091&ver=html5
61,18,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis",Infliximab,IV,Canada,10000,Effective HCP Appointments,Patient care coordination,Telephone,90.0,PREM: IV Perception_rating,60.0,https://lsc-pagepro.mydigitalpublication.com/publication/?m=38924&i=380838&view=articleBrowser&article_id=2701091&ver=html5
62,18,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis",Infliximab,IV,Canada,10000,Financial,Co-pay,Telephone,90.0,PREM: IV Perception_rating,60.0,https://lsc-pagepro.mydigitalpublication.com/publication/?m=38924&i=380838&view=articleBrowser&article_id=2701091&ver=html5
63,18,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis",Infliximab,IV,Canada,10000,Financial,Insurance support,Telephone,90.0,PREM: IV Perception_rating,60.0,https://lsc-pagepro.mydigitalpublication.com/publication/?m=38924&i=380838&view=articleBrowser&article_id=2701091&ver=html5
64,18,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis",Infliximab,IV,Canada,10000,Financial,Free-Supply,Telephone,90.0,PREM: IV Perception_rating,60.0,https://lsc-pagepro.mydigitalpublication.com/publication/?m=38924&i=380838&view=articleBrowser&article_id=2701091&ver=html5
65,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Carer Enablement,,Telephone (Nurse/AHP),,Perc_discontinuation_12mnth,46.0,https://doi.org/10.1016/j.clinthera.2018.02.001
66,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Patient Education,Nurse/AHP assistance,Inperson,,Perc_discontinuation_12mnth,46.0,https://doi.org/10.1016/j.clinthera.2018.02.001
67,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Patient Education,Nurse/AHP assistance,Telephone (Nurse/AHP),,Perc_discontinuation_12mnth,46.0,https://doi.org/10.1016/j.clinthera.2018.02.001
68,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Medicine Usage Support,Dose/inj training,Inperson,,Perc_discontinuation_12mnth,46.0,https://doi.org/10.1016/j.clinthera.2018.02.001
69,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Medicine Logistics,Home Delivery/Order,-,,Perc_discontinuation_12mnth,46.0,https://doi.org/10.1016/j.clinthera.2018.02.001
70,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Medicine Logistics,Disposal,-,,Perc_discontinuation_12mnth,46.0,https://doi.org/10.1016/j.clinthera.2018.02.001
71,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Medicine Routine,Reminders,Telephone,,Perc_discontinuation_12mnth,46.0,https://doi.org/10.1016/j.clinthera.2018.02.001
72,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Financial,Co-pay,Telephone,,Perc_discontinuation_12mnth,46.0,https://doi.org/10.1016/j.clinthera.2018.02.001
73,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Financial,Insurance support,Telephone,,Perc_discontinuation_12mnth,46.0,https://doi.org/10.1016/j.clinthera.2018.02.001
74,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Financial,Free-Supply,Telephone,,Perc_discontinuation_12mnth,46.0,https://doi.org/10.1016/j.clinthera.2018.02.001
75,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Motivation/Confidence,Coaching/Counseling,Inperson,,Perc_discontinuation_12mnth,46.0,https://doi.org/10.1016/j.clinthera.2018.02.001
76,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Carer Enablement,,Telephone (Nurse/AHP),,Perc_Persistence_12mnth,30.0,https://doi.org/10.1016/j.clinthera.2018.02.001
77,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Patient Education,Nurse/AHP assistance,Inperson,,Perc_Persistence_12mnth,30.0,https://doi.org/10.1016/j.clinthera.2018.02.001
78,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Patient Education,Nurse/AHP assistance,Telephone (Nurse/AHP),,Perc_Persistence_12mnth,30.0,https://doi.org/10.1016/j.clinthera.2018.02.001
79,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Medicine Usage Support,Dose/inj training,Inperson,,Perc_Persistence_12mnth,30.0,https://doi.org/10.1016/j.clinthera.2018.02.001
80,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Medicine Logistics,Home Delivery/Order,-,,Perc_Persistence_12mnth,30.0,https://doi.org/10.1016/j.clinthera.2018.02.001
81,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Medicine Logistics,Disposal,-,,Perc_Persistence_12mnth,30.0,https://doi.org/10.1016/j.clinthera.2018.02.001
82,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Medicine Routine,Reminders,Telephone,,Perc_Persistence_12mnth,30.0,https://doi.org/10.1016/j.clinthera.2018.02.001
83,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Financial,Co-pay,Telephone,,Perc_Persistence_12mnth,30.0,https://doi.org/10.1016/j.clinthera.2018.02.001
84,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Financial,Insurance support,Telephone,,Perc_Persistence_12mnth,30.0,https://doi.org/10.1016/j.clinthera.2018.02.001
85,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Financial,Free-Supply,Telephone,,Perc_Persistence_12mnth,30.0,https://doi.org/10.1016/j.clinthera.2018.02.001
86,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Motivation/Confidence,Coaching/Counseling,Inperson,,Perc_Persistence_12mnth,30.0,https://doi.org/10.1016/j.clinthera.2018.02.001
87,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Carer Enablement,,Telephone (Nurse/AHP),,Adherence_MPR_gr80%,11.0,https://doi.org/10.1016/j.clinthera.2018.02.001
88,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Patient Education,Nurse/AHP assistance,Inperson,,Adherence_MPR_gr80%,11.0,https://doi.org/10.1016/j.clinthera.2018.02.001
89,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Patient Education,Nurse/AHP assistance,Telephone (Nurse/AHP),,Adherence_MPR_gr80%,11.0,https://doi.org/10.1016/j.clinthera.2018.02.001
90,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Medicine Usage Support,Dose/inj training,Inperson,,Adherence_MPR_gr80%,11.0,https://doi.org/10.1016/j.clinthera.2018.02.001
91,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Medicine Logistics,Home Delivery/Order,-,,Adherence_MPR_gr80%,11.0,https://doi.org/10.1016/j.clinthera.2018.02.001
92,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Medicine Logistics,Disposal,-,,Adherence_MPR_gr80%,11.0,https://doi.org/10.1016/j.clinthera.2018.02.001
93,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Medicine Routine,Reminders,Telephone,,Adherence_MPR_gr80%,11.0,https://doi.org/10.1016/j.clinthera.2018.02.001
94,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Financial,Co-pay,Telephone,,Adherence_MPR_gr80%,11.0,https://doi.org/10.1016/j.clinthera.2018.02.001
95,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Financial,Insurance support,Telephone,,Adherence_MPR_gr80%,11.0,https://doi.org/10.1016/j.clinthera.2018.02.001
96,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Financial,Free-Supply,Telephone,,Adherence_MPR_gr80%,11.0,https://doi.org/10.1016/j.clinthera.2018.02.001
97,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Motivation/Confidence,Coaching/Counseling,Inperson,,Adherence_MPR_gr80%,11.0,https://doi.org/10.1016/j.clinthera.2018.02.001
98,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Carer Enablement,,Telephone (Nurse/AHP),,Adherence_MPR_mean,3.0,https://doi.org/10.1016/j.clinthera.2018.02.001
